YEAR,paper,citations
2016,Optical Flow with Semantic Segmentation and Localized Layers,169
2016,ForgetMeNot: Memory-Aware Forensic Facial Sketch Matching,62
2016,3D Action Recognition from Novel Viewpoints,161
2016,Large-Scale Semantic 3D Reconstruction: An Adaptive Multi-resolution Model for Multi-class Volumetric Labeling,91
2016,Dense Human Body Correspondences Using Convolutional Networks,187
2016,Deep Exemplar 2D-3D Detection by Adapting from Real to Rendered Views,102
2016,Efficient Point Process Inference for Large-Scale Object Detection,33
2016,Semantic Filtering,38
2016,Inside-Outside Net: Detecting Objects in Context with Skip Pooling and Recurrent Neural Networks,1112
2016,Natural Language Object Retrieval,426
2016,Multiview Image Completion with Space Structure Propagation,27
2016,Deep Relative Distance Learning: Tell the Difference between Similar Vehicles,486
2016,Spatially Binned ROC: A Comprehensive Saliency Metric,10
2016,A Task-Oriented Approach for Cost-Sensitive Recognition,5
2016,When VLAD Met Hilbert,3
2016,Weakly Supervised Object Boundaries,46
2016,Seven Ways to Improve Example-Based Single Image Super Resolution,362
2016,Learning to Match Aerial Images with Deep Attentive Architectures,71
2016,Kernel Approximation via Empirical Orthogonal Decomposition for Unsupervised Feature Learning,13
2016,Solving Small-Piece Jigsaw Puzzles by Growing Consensus,37
2016,Learnt Quasi-Transitive Similarity for Retrieval from Large Collections of Faces,8
2016,HyperNet: Towards Accurate Region Proposal Generation and Joint Object Detection,711
2016,Automating Carotid Intima-Media Thickness Video Interpretation with Convolutional Neural Networks,43
2016,Online Detection and Classification of Dynamic Hand Gestures with Recurrent 3D Convolutional Neural Networks,18
2016,Simultaneous Optical Flow and Intensity Estimation from an Event Camera,171
2016,Learning to Co-Generate Object Proposals with a Deep Structured Network,16
2016,The Solution Path Algorithm for Identity-Aware Multi-object Tracking,43
2016,Some Like It Hot — Visual Guidance for Preference Prediction,77
2016,Closed-Form Training of Mahalanobis Distance for Supervised Clustering,24
2016,Discriminative Invariant Kernel Features: A Bells-and-Whistles-Free Approach to Unsupervised Face Recognition and Pose Estimation,33
2016,Three-Dimensional Object Detection and Layout Prediction Using Clouds of Oriented Gradients,120
2016,Efficient Piecewise Training of Deep Structured Models for Semantic Segmentation,904
2016,Towards Open Set Deep Networks,608
2016,The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes,1341
2016,CRAFT Objects from Images,123
2016,A Robust Multilinear Model Learning Framework for 3D Faces,24
2016,Reinforcement Learning for Visual Object Detection,142
2016,Unsupervised Learning from Narrated Instruction Videos,216
2016,Efficient Globally Optimal 2D-to-3D Deformable Shape Matching,21
2016,Predicting When Saliency Maps are Accurate and Eye Fixations Consistent,13
2016,iLab-20M: A Large-Scale Controlled Object Dataset to Investigate Deep Learning,57
2016,What Value Do Explicit High Level Concepts Have in Vision to Language Problems?,409
2016,They are Not Equally Reliable: Semantic Event Search Using Differentiated Concept Classifiers,34
2016,DeepCAMP: Deep Convolutional Action & Attribute Mid-Level Patterns,40
2016,Recognizing Emotions from Abstract Paintings Using Non-Linear Matrix Completion,78
2016,Discriminative Hierarchical Rank Pooling for Activity Recognition,124
2016,Robust 3D Hand Pose Estimation in Single Depth Images: From Single-View CNN to Multi-View CNNs,259
2016,Structured Feature Similarity with Explicit Feature Map,3
2016,Copula Ordinal Regression for Joint Estimation of Facial Action Unit Intensity,54
2016,Factors in Finetuning Deep Model for Object Detection with Long-Tail Distribution,130
2016,Comparative Deep Learning of Hybrid Representations for Image Recommendations,91
2016,CP-mtML: Coupled Projection Multi-Task Metric Learning for Large Scale Face Retrieval,51
2016,ASP Vision: Optically Computing the First Layer of Convolutional Neural Networks Using Angle Sensitive Pixels,63
2016,Blockout: Dynamic Model Selection for Hierarchical Deep Networks,43
2016,Object Tracking via Dual Linear Structured SVM and Explicit Feature Map,256
2016,Learning Relaxed Deep Supervision for Better Edge Detection,92
2016,Oracle Based Active Set Algorithm for Scalable Elastic Net Subspace Clustering,177
2016,Fits Like a Glove: Rapid and Reliable Hand Shape Personalization,88
2016,The Cityscapes Dataset for Semantic Urban Scene Understanding,6072
2016,Large-Scale Location Recognition and the Geometric Burstiness Problem,133
2016,WarpNet: Weakly Supervised Matching for Single-View Reconstruction,150
2016,DeepCut: Joint Subset Partition and Labeling for Multi Person Pose Estimation,808
2016,Analyzing Classifiers: Fisher Vectors and Deep Neural Networks,147
2016,Jointly Modeling Embedding and Translation to Bridge Video and Language,518
2016,A Probabilistic Collaborative Representation Based Approach for Pattern Classification,244
