YEAR,TITLE,citations
2016,Estimation from Indirect Supervision with Linear Moments,8
2016,Speeding up k-means by approximating Euclidean distances via block vectors,33
2016,Learning and Inference via Maximum Inner Product Search,35
2016,A Superlinearly-Convergent Proximal Newton-type Method for the Optimization of Finite Sums,29
2016,A Kernel Test of Goodness of Fit,209
2016,Interacting Particle Markov Chain Monte Carlo,29
2016,Faster Eigenvector Computation via Shift-and-Invert Preconditioning,70
2016,A Theory of Generative ConvNet,170
2016,Efficient Learning with a Family of Nonconvex Regularizers by Redistributing Nonconvexity,42
2016,Computationally Efficient Nyström Approximation using Fast Transforms,12
2016,Gromov-Wasserstein Averaging of Kernel and Distance Matrices,162
2016,Robust Monte Carlo Sampling using Riemannian Nosé-Poincaré Hamiltonian Dynamics,5
2016,"The Segmented iHMM: A Simple, Efficient Hierarchical Infinite HMM",18
2016,Meta–Gradient Boosted Decision Tree Model for Weight and Target Learning,2
2016,Discriminative Embeddings of Latent Variable Models for Structured Data,471
2016,Robust Random Cut Forest Based Anomaly Detection on Streams,176
2016,Training Neural Networks Without Gradients: A Scalable ADMM Approach,209
2016,Clustering High Dimensional Categorical Data via Topographical Features,9
2016,Efficient Algorithms for Large-scale Generalized Eigenvector Computation and Canonical Correlation Analysis,66
2016,Algorithms for Optimizing the Ratio of Submodular Functions,26
2016,Model-Free Imitation Learning with Policy Optimization,100
2016,ADIOS: Architectures Deep In Output Space,24
2016,"Conditional Dependence via Shannon Capacity: Axioms, Estimators and Applications",12
2016,"Control of Memory, Active Perception, and Action in Minecraft",257
2016,The Label Complexity of Mixed-Initiative Classifier Training,23
2016,Bayesian Poisson Tucker Decomposition for Learning the Structure of International Relations,62
2016,Tensor Decomposition via Joint Matrix Schur Decomposition,19
2016,Continuous Deep Q-Learning with Model-based Acceleration,845
2016,Domain Adaptation with Conditional Transferable Components,236
2016,Fixed Point Quantization of Deep Convolutional Networks,684
2016,Provable Algorithms for Inference in Topic Models,25
2016,Epigraph projections for fast general convex programming,8
2016,Fast Algorithms for Segmented Regression,19
2016,Energetic Natural Gradient Descent,13
2016,Partition Functions from Rao-Blackwellized Tempered Sampling,18
2016,Learning Mixtures of Plackett-Luce Models,33
2016,Near Optimal Behavior via Approximate State Abstraction,92
2016,Power of Ordered Hypothesis Testing,29
2016,PHOG: Probabilistic Model for Code,160
2016,"Shifting Regret, Mirror Descent, and Matrices",15
